name,data
Specialization,"[{""name"": ""Specialization"",""type"": ""Trait"",""data"": {""notes"": ""Specialization: Your Kin get a +10 bonus to any one Skill of their choice."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Specialization"",""type"": ""Modifier"",""data"": {""notes"": ""Specialization: Your kin get a +10 bonus to any one Skill of\ntheir choice."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""10"",""category"": ""skill"",""targets"": ""Skill Name""}},""tempName"": ""Specialization""}}]"
Sneaky,"[{""name"": ""Sneaky"",""type"": ""Trait"",""data"": {""notes"": ""Sneaky: Despised both by Orcs and Men, your Kin quickly learn to avoid unwanted attention. They get a special +10 bonus to their Stealth skill."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Sneaky"",""type"": ""Modifier"",""data"": {""notes"": ""Sneaky: Despised by many kin, your kin quickly learn to avoid unwanted attention. They get a special +10 bonus to their Stealth skill."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""+10"",""category"": ""skill"",""targets"": ""Stealth""}},""tempName"": ""Sneaky""}}]"
Shipwrights,"[{""name"": ""Shipwrights"",""type"": ""Trait"",""data"": {""notes"": ""Shipwrights: Your Kin are renowned sailors, and gain a +20 bonus to all their Rolls made to build, repair, or pilot ships."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Shipwrights"",""type"": ""Modifier"",""data"": {""notes"": ""Shipwrights: Your kin are renowned sailors, and gain a +20 bonus to all their Rolls made to build, repair, or pilot ships."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 20,""formula"": ""+20"",""category"": ""skill"",""targets"": """"}},""tempName"": ""Shipwrights""}}]"
Second Breakfast,"[{""name"": ""Second Breakfast"",""type"": ""Trait"",""data"": {""notes"": ""Second Breakfast: Your Kin double their HP recovery for the day if they manage to have a lavish meal (a real meal, not rations!) before resting."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}]"
Rending Claws,"[{""name"": ""Rending Claws"",""type"": ""Trait"",""data"": {""notes"": ""Rending Claws: Your Kin’s unarmed attacks are treated like Large Claws and resolved on the Beast Attack Table."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Brawl: Rending Claws (Cut)"",""type"": ""Melee-Attack"",""data"": {""notes"": ""Rending Claws: Your kin's unarmed attacks are treated like Large Claws and resolved on the Beast Attack Table.\nSecond Critical: Pierce"",""chartype"": ""CharacterVsD"",""value"": 0,""formula"": ""@brawl"",""damage"": ""7.7 Beast Attack Table"",""damageType"": ""7.10 Cut Critical Strikes Table"",""armourDiv"": 2,""minST"": ""oe"",""weight"": 140,""reach"": 5,""moddedvalue"": 0}}]"
Nimble,"[{""name"": ""Nimble"",""type"": ""Trait"",""data"": {""notes"": ""Nimble: Your Kin get a special +20 bonus to their Stealth and Acrobatic Skills."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Nimble"",""type"": ""Modifier"",""data"": {""notes"": ""Nimble: Your kin get a special +20 bonus to their Stealth and Acrobatic Skills."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 20,""formula"": ""+20"",""category"": ""skill"",""targets"": ""Stealth, Athletic""}},""tempName"": ""Nimble""}}]"
Night Sight,"[{""name"": ""Night Sight"",""type"": ""Trait"",""data"": {""notes"": ""Night Sight: Your Kin can see in natural moonlight or starlight as if it were day, and up to 30 m in Dim Light (treating the first 15 m as if they were standing in Bright Light). They can see up to 3 m even in Total Darkness."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}]"
Lore of the Ages,"[{""name"": ""Lore of the Ages"",""type"": ""Trait"",""data"": {""notes"": ""Lore of the Ages: Your Kin gain access to two Kin Spell Lores: Elven Lore and Spell Songs (see Magic chapter for more information about Kin Spell Lores). They also gain 2 ranks to distribute among these Spell Lores as they see fit."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Ranks: Lore of the Ages"",""type"": ""Variable"",""data"": {""notes"": ""Lore of the Ages: Your kin gain access to two Kin Spell Lores: Elven Lore and Spell Songs (see Magic chapter for more information about Kin Spell Lores). They also gain 2 ranks to distribute among these Spell Lores as they see fit."",""chartype"": ""CharacterVsD"",""value"": 1,""formula"": ""1"",""label"": ""Spell Songs"",""entries"": {""0"": {""value"": 0,""formula"": """",""label"": """"},""1"": {""value"": 1,""formula"": ""1"",""label"": ""Elven Lore""},""2"": {""value"": 1,""formula"": ""1"",""label"": ""Spell Songs""}}}}]"
Lithe and Graceful,"[{""name"": ""Lithe and Graceful"",""type"": ""Trait"",""data"": {""notes"": ""Lithe and Graceful: Your Kin must assign one of their three highest Stat Values to their Bearing before Kin Modifiers are applied. They get a +10 bonus to their Acrobatics skill, and a +20 bonus to their Stealth Rolls in any natural environment."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Lithe and Graceful"",""type"": ""Modifier"",""data"": {""notes"": ""Lithe and Graceful: Your kin must assign one of their three highest Stat Values to their Bearing before Kin Modifiers are applied. They get a +10 bonus to their Acrobatics skill, and a +20 bonus to their Stealth Rolls in any natural environment."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""+10"",""category"": ""skill"",""targets"": ""Acrobatics""}},""tempName"": ""Lithe and Graceful""}}, {""name"": ""Lithe and Graceful (In Nature)"",""type"": ""Modifier"",""data"": {""notes"": ""Lithe and Graceful: Your kin must assign one of their three highest Stat Values to their Bearing before Kin Modifiers are applied. They get a +10 bonus to their Acrobatics skill, and a +20 bonus to their Stealth Rolls in any natural environment."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 20,""formula"": ""+20"",""category"": ""skill"",""targets"": ""Stealth""}},""tempName"": ""Lithe and Graceful (In Nature)""}}]"
Light-Footed,"[{""name"": ""Light-Footed"",""type"": ""Trait"",""data"": {""notes"": ""Light-Footed: Rough Terrain does not affect the movements of Elves, as long as they are unencumbered and wearing light or no armor. Additionally, each elf counts only as half a group member (rounding up) for the purpose of calculating their group’s size when Camping."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Light-Footed"",""type"": ""Trait"",""data"": {""notes"": ""Light-Footed: Rough Terrain does not affect the movements of your Kin, as long as they are unencumbered and wearing light or no armor. Additionally, each counts only as half a group member (rounding up) for the purpose of calculating their group’s size when Camping."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}]"
Keen Sight,"[{""name"": ""Keen Sight"",""type"": ""Trait"",""data"": {""notes"": ""Keen Sight: Your Kin have an excellent eye-sight. They gain a +15 bonus to all sight-related Perception Rolls and reduce Range penalties for their ranged attacks by 5 points."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Keen Sight"",""type"": ""Modifier"",""data"": {""notes"": ""Keen Sight: Your kin have an excellent eye-sight. They gain\na +15 bonus to all sight-related Perception Rolls and reduce\nRange penalties for their ranged attacks by 5 points."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 15,""formula"": ""+15"",""category"": ""skill"",""targets"": ""Perception""}},""tempName"": ""Keen Sight""}}, {""name"": ""Missile Range (Keen Sight)"",""type"": ""Variable"",""data"": {""notes"": ""Keen Sight: Your kin have an excellent eye-sight. They gain a +15 bonus to all sight-related Perception Rolls and reduce Range penalties for their ranged attacks by 5 points."",""chartype"": ""CharacterVsD"",""value"": 0,""formula"": ""0"",""label"": ""Base"",""entries"": {""0"": {""value"": null,""formula"": """",""label"": """"},""1"": {""value"": 0,""formula"": ""0"",""label"": ""Base""},""2"": {""value"": -20,""formula"": ""-20"",""label"": ""Medium""},""3"": {""value"": -45,""formula"": ""-45"",""label"": ""Long""},""4"": {""value"": -70,""formula"": ""-70"",""label"": ""Extreme""}}}}, {""name"": ""Missile Range (Keen Sight)"",""type"": ""Modifier"",""data"": {""notes"": ""Keen Sight: Your kin have an excellent eye-sight. They gain\na +15 bonus to all sight-related Perception Rolls and reduce\nRange penalties for their ranged attacks by 5 points."",""chartype"": ""CharacterVsD"",""inEffect"": true,""alwaysOn"": false,""attack"": true,""defence"": false,""skill"": false,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 0,""formula"": ""@missile-range-keen-sight"",""category"": ""attack"",""targets"": ""Ranged""}},""tempName"": ""Missile Range (Keen Sight) (Base)""}}]"
Keen Senses,"[{""name"": ""Keen Senses"",""type"": ""Trait"",""data"": {""notes"": ""Keen Senses: Your Kin have superior senses that grant them a special +10 bonus to their Perception Skill. Additionally, they can see in natural moonlight or starlight as if it were day, and up to 30m in Dim Light (treating the first 15 m as if they were standing in Bright Light)."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Keen Senses"",""type"": ""Modifier"",""data"": {""notes"": ""Keen Senses: Your kin have superior senses that grant them a special +10 bonus to their Perception Skill. Additionally, they can see in natural moonlight or starlight as if it were day, and up to 30m in Dim Light (treating the first 15 m as if they were standing in Bright Light)."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""+10"",""category"": ""skill"",""targets"": ""Perception""}},""tempName"": ""Keen Senses""}}]"
Imposing,"[{""name"": ""Imposing"",""type"": ""Trait"",""data"": {""notes"": ""Imposing: Your Kin get a +15 bonus to their Charisma Skill."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Imposing"",""type"": ""Modifier"",""data"": {""notes"": ""Imposing: Your kin get a +15 bonus to their Charisma Skill."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 15,""formula"": ""15"",""category"": ""skill"",""targets"": ""Charisma""}},""tempName"": ""Imposing""}}]"
Immortal,"[{""name"": ""Immortal"",""type"": ""Trait"",""data"": {""notes"": ""Immortal: Your Kin do not age, are immune to disease, and are resistant to the effects of natural cold (gaining a +10 bonus against any Cold-based threat). They don’t need to sleep, and will gain the benefits of a night’s rest simply by meditating for 3 hours."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Immortal (vs Cold)"",""type"": ""Modifier"",""data"": {""notes"": ""Immortal: Your kin do not age, are immune to disease, and are resistant to the effects of natural cold (gaining a +10 bonus against any Cold-based threat). They don’t need to sleep, and will gain the benefits of a night’s rest simply by meditating for 3 hours."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": true,""skill"": false,""spell"": false,""check"": false,""reaction"": true,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""+10"",""category"": ""defence"",""targets"": ""Willpower, Toughness""},""2"": {""value"": 10,""formula"": ""+10"",""category"": ""reaction"",""targets"": ""Melee, Missile""}},""tempName"": ""Immortal (vs Cold)""}}]"
Hulking Brute,"[{""name"": ""Hulking Brute"",""type"": ""Trait"",""data"": {""notes"": ""Hulking Brute: Your Kin are Large in Size and reduce any Critical Strike they receive by one Severity degree (Criticals reduced under the Superficial Severity are ignored altogether). They also ignore any Stun result when receiving a critical from a non-magical attack."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}]"
Giantkin,"[{""name"": ""Giantkin"",""type"": ""Trait"",""data"": {""notes"": ""Giantkin: Your Kin are Large in Size and reduce any Critical Strike they receive by one Severity degree (Criticals reduced under the Superficial Severity are ignored altogether)."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}]"
Forgekin,"[{""name"": ""Forgekin"",""type"": ""Trait"",""data"": {""notes"": ""Forgekin: Your Kin get a +30 bonus to their Save Rolls and Defense against heat and cold attacks, and to all their Rolls to work metals, stone, and gems, and to craft items using these materials. Additionally, any metal item successfully created by them will always be at least of High Quality."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Forgekin (Heat and Cold Tolerance)"",""type"": ""Modifier"",""data"": {""notes"": ""Forgekin: Your kin get a +30 bonus to their Save Rolls and Defense against heat and cold attacks, and to all their Rolls to work metals, stone, and gems, and to craft items using these materials. Additionally, any metal item successfully created by them will always be at least of High Quality."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": true,""skill"": false,""spell"": false,""check"": false,""reaction"": true,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 30,""formula"": ""+30"",""category"": ""defence"",""targets"": ""Toughness, Willpower""},""2"": {""value"": 30,""formula"": ""+30"",""category"": ""reaction"",""targets"": ""Missile, Melee""}},""tempName"": ""Forgekin (Heat and Cold Tolerance)""}}, {""name"": ""Forgekin (Craft)"",""type"": ""Modifier"",""data"": {""notes"": ""Forgekin: Your kin get a +30 bonus to their Save Rolls and Defense against heat and cold attacks, and to all their Rolls to work metals, stone, and gems, and to craft items using these materials. Additionally, any metal item successfully created by them will always be at least of High Quality."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 30,""formula"": ""+30"",""category"": ""skill"",""targets"": ""Craft""}},""tempName"": ""Forgekin (Craft)""}}]"
Flame-Hardened,"[{""name"": ""Flame-Hardened"",""type"": ""Trait"",""data"": {""notes"": ""Flame-Hardened: Your Kin get a +30 bonus to their Save Rolls and Defense against heat and flame."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Flame-Hardened"",""type"": ""Modifier"",""data"": {""notes"": ""Flame-Hardened: Your kin get a +30 bonus to their Save Rolls and Defense against heat and flame."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": true,""skill"": false,""spell"": false,""check"": false,""reaction"": true,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 30,""formula"": ""+30"",""category"": ""defence"",""targets"": ""Toughness, Willpower""},""2"": {""value"": 30,""formula"": ""+30"",""category"": ""reaction"",""targets"": ""Missile, Melee""}},""tempName"": ""Flame-Hardened""}}]"
Fire-Hardened,"[{""name"": ""Fire-Hardened"",""type"": ""Trait"",""data"": {""notes"": ""Fire-Hardened: Your Kin get a +15 bonus to their Save Rolls and Defense against heat and flame."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Fire-Hardened"",""type"": ""Modifier"",""data"": {""notes"": ""Fire-Hardened: Your kin get a +15 bonus to their Save Rolls and Defense against heat and flame."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": true,""skill"": false,""spell"": false,""check"": false,""reaction"": true,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 15,""formula"": ""+15"",""category"": ""defence"",""targets"": ""Toughness, Willpower""},""2"": {""value"": 15,""formula"": ""+15"",""category"": ""reaction"",""targets"": ""Missile, Melee""}},""tempName"": ""Fire-Hardened""}}]"
