spelllore,weave,spell,range,aoe,duration,save,description,warp1,warp2,warp3,spelllore-ref,attack,crit,attacktable,crittable,max
Channeling,5th,Transferral,0 (self),20 m  radius,1 rnd/lvl,N,"The next Spell cast by the caster within the Duration is transferred to a willing sentient creature within the Area of Effect that the caster can see. The transferred Spell resolves normally, but its point of origin is considered to be the selected creature rather than the caster.","+4 Weave: as long as the caster knows the exact location of the selected creature, and the creature knows that the caster is transferring a spell to them, the selected creature doesn't have to be within the Area of Effect.",,,channeling,,,,,
Channeling,6th,Weight of Conscience*,15 m,1 target,1 rnd/10 pnts failure,Y,Target creature becomes Weary for 1 Round for every 10 points of failure in their Save Roll.,+2 Weave: add one target.,,,channeling,,,,,
Channeling,7th,Spiritual Tether*,15 m,1 target,1 rnd/10 pnts failure,Y,Target creature is Held for 1 Round for every 10 points of failure in their Save Roll.,,,,channeling,,,,,
Channeling,8th,Spirit Wrack*,15 m,1 target,1 rnd/10 pnts failure,Y,"Target creature is Incapacitated for 1 round for every 10 points of failure in their Save Roll, and cannot be awoken by normal means for the Duration.",,,,channeling,,,,,
Channeling,9th,Holy Shout*,0 (self),6 m radius,1 rnd,Y,The caster utters a holy word that rattles enemies and bolster allies. Creatures hostile to the caster within the Area of Effect must pass a Save Roll or be Stunned. Allies of the caster gain a magical +10 bonus to all their Attack and Skill Rolls for the current Round.,,,,channeling,,,,,
Channeling,10th,Punishment Divine,0 (self),10 m radius,1 rnd/lvl,N,"Dark clouds gather in the sky over the caster, thundering with the rage of Nature. As soon as this Spell is cast, and at the beginning of the Assessment Phase of each following Round for the Duration, the caster selects a random enemy within the Area of Effect as a Free Action. A lightning bolt flashes from the sky, striking the selected creature down. The lightning bolt inflicts Lightning damage and is resolved as an Attack Spell (using the caster's Channeling Skill Bonus), rolled on the Bolt Spells Attack Table, with no maximum result. This Spell can only be cast outdoor.  Chanting Invoking the protection of the Ancient Spirits and the Gods of Nature to protect oneself and own companions from adverse magic, curse and misfortune.",,,,channeling,Bolt,Lightning,7.6 Bolt Spells Attack Table,7.14 Lightning Critical Strikes Table,175
Chanting,1st,Chant of Courage,0 (self),3 m radius,C,N,"The caster and their allies within the Area of Effect gain a special +10 bonus to their Save Rolls against fear. Additionally, at the end of each Assessment Phase, they can make a Save Roll to shake off the effects of any fear-inducing Spell or ability affecting them.",+3 Weave: increase radius of the Area of Effect by 3m.,+2 Weave: change the duration to 1 round per Level of the caster.,,chanting,,,,,
Chanting,2nd,Endure the Elements,0 (touch),1 target,1 min/lvl,N,"Target creature is protected from the effects of extreme natural hot and cold weather. Additionally, they gain a special +20 bonus to their Defense and Save Rolls against Fire and Frost magical attacks for the Duration.",+2 Weave: change Duration to 10 minutes per Level.,,,chanting,,,,,
Chanting,3rd,Nature's Blessing,0 (touch),1 target,1 min/lvl,N,"The caster blesses target living creature, granting them a special +10 bonus to their Defense and Save Rolls for the Duration.",,,,chanting,,,,,
Chanting,4th,Suppress Curse,3 m,1 target,1 hr/lvl,Y,"Target curse affecting a creature or item within Range must pass a WSR, using its Attack Level (or the Level of whoever placed it) as its Defender Level. If it fails, the effects of the curse are cancelled for the Duration. The curse will take effect again when the Spell ends. Weave Spell Range Area of Effect Duration Save",,,,chanting,,,,,
Chanting,5th,Repel Magic,0 (self),3 m radius,C,Y,"The caster asks the spirits to protect them from adverse magic. For the Duration, whenever a Spell that would affect a target within the Area of Effect is cast, that Spell must pass a WSR, using its caster's Level (or its Weave, if no caster is present) as its Defender Level. If this SR fails, the Spell doesn't affect creatures within the Area of Effect (it still resolves normally for targets outside the Area of Effect).",+3 Weave: increase radius of the Area of Effect by 3 meters.,+2 Weave: change the duration to 1 round per Level of the caster.,,chanting,,,,,
Chanting,6th,Sanctuary,0 (self),3 m radius,C,Y,"The caster and all their allies within the Area of Effect gain a special +10 bonus to their Defense and Save Rolls for the Duration. Additionally, evil creatures outside the Area of Effect cannot enter it without making a Save Roll (evil creatures already inside it are unaffected).",+3 Weave: increase radius of the Area of Effect by 3 meters.,+2 Weave: change the duration to 1 round per Level of the caster.,,chanting,,,,,
Chanting,7th,Dispel Magic,20 m,1 target,P,Y,"Target active Spell or magical effect within Range must pass a WSR, using its caster's Level (or its Weave, if no caster is present) as its Defender Level. If it fails, the Spell is dispelled and its effects immediately end.",,,,chanting,,,,,
Chanting,8th,Break Curse,3 m,1 target,P,Y,"Target curse affecting a creature or item within range must pass a WSR using its Attack Level (or the Level of whoever placed it) as its Defender Level. If it fails, the curse is broken and its effects are permanently cancelled.",,,,chanting,,,,,
Chanting,9th,Nature's Cradle,0 (touch),1 camp,1 day,N,"The spirits watch over the caster and their allies, shielding them from danger and hiding them from the agents of the Darkmaster. The spot chosen for the caster's camp is considered to be Normal Terrain, and the caster's group size is halved for the purpose of calculating Camping Rolls Difficulty for the Duration.",,,,chanting,,,,,
Chanting,10th,Nature's Shield*,0 (self),caster,-,N,"This Spell protects the caster from a single non-magical attack, causing it to automatically miss. Cleansing Purging the body, foods, and drinks of noxious poisons, harmful diseases, and rot.",,,,chanting,,,,,
Cleansing,1st,Cleanse Food & Water,3 m,1 m radius,-,N,Any food and drink in the Area of Effect is cleared of poison and disease.,,,,cleansing,,,,,
Cleansing,2nd,Detect Poison,0 (self),1 m radius,C,N,"For the Duration, the caster can sense the presence of poison and poisonous material in the Area of Effect.",,,,cleansing,,,,,
Cleansing,3rd,Resist Disease,0 (touch),1 target,10 min/lvl,N,"For the Duration, the target gains a magical +20 bonus to all Save Rolls made to resist diseases.",,,,cleansing,,,,,
Cleansing,4th,Resist Poison,0 (touch),1 target,10 min/lvl,N,"For the Duration, the target gains a magical +20 bonus to all Save Rolls made to resist poison.",,,,cleansing,,,,,
Cleansing,5th,Cleanse Wound,0 (touch),1 target,-,N,Target Lingering Injury becomes a normal Injury of the same severity.,+3 Weave: add one target.,,,cleansing,,,,,
Cleansing,6th,Cure Disease,0 (touch),1 target,-,N,Target living creature is cured of a single disease afflicting them. This Spell doesn't heal the damage already caused by the disease but allows the target to start recovering from it. Weave Spell Range Area of Effect Duration Save,,,,cleansing,,,,,
Cleansing,7th,Cure Poison,0 (touch),1 target,-,N,This Spell removes a single poison afflicting target living creature. This Spell doesn't heal the damage already caused by the poison but allows the target to start recovering from it.,,,,cleansing,,,,,
Cleansing,8th,Purge Evil,20 m,1 target,-,Y,"With a commanding gesture and a holy word, the caster purges target animated corpse of the festering evil corrupting it. Target corporeal undead must pass a WSR or be destroyed, its body returning to its natural state.",,,,cleansing,,,,,
Cleansing,9th,Cleanse the Soil,0 (self),10 m radius/lvl,-,N,"The caster calls upon the spirits of Nature to purify an entire area from pernicious influences. This Spell removes any poison, disease, blight, or rot affecting the soil in the Area of Effect. Spells and magical effects causing such conditions in the area are dispelled. Note that this Spell won't prevent noxious conditions from spreading again or re-forming in the area.",,,,cleansing,,,,,
Cleansing,10th,Cleanse the Mind,0 (touch),1 target,-,N,"Target living creature is healed from a single mental disease or affliction.  Commanding Presence Issuing orders, intimidating foes, and inspiring and rallying allies with powerful battlecries.",,,,cleansing,,,,,
Commanding Presence,1st,Commander's Authority,0 (self),Caster,1 min/lvl,N,The caster gains a magical +10 bonus to their Charisma Skill Rolls for the Duration.,+2 Weave: change Duration to 10 minutes per Level.,,,commanding-presence,,,,,
Commanding Presence,2nd,Rallying Warcry*,0 (self),6 m radius,-,N,The caster and every ally able to hear them in the Area of Effect can immediately make a SR to shake off the effects of any fear-inducing Spell or ability affecting them.,+2 Weave: creatures affected by this Spell also gain a +10 bonus to the SR it grants.,,,commanding-presence,,,,,
Commanding Presence,3rd,Formation Fighting*,0 (self),6 m radius,1 rnd/lvl,N,"For the Duration, the caster and each ally in the Area of Effect gain a magical +5 bonus to their DEF and Attack Rolls as long as they're adjacent to at least one other ally.",+2 Weave: increase bonus granted by +5.,,,commanding-presence,,,,,
Commanding Presence,4th,Taunt*,20 m,1 target,1 rnd/5 fail,Y,Target sentient creature suffers a magical -50 penalty to all their Attack Rolls that do not target the caster for the Duration. Weave Spell Range Area of Effect Duration Save,,,,commanding-presence,,,,,
Commanding Presence,5th,Intimidating Stance*,0 (self),"1,5 m radius",1 rnd/5 fail,Y,"Sentient creatures within the Area of Effect engaged with the caster in melee must pass a SR. If they fail, they're made afraid of the caster and must use at least half of their CMB to Parry the caster's attacks each Round for the Duration.",,,,commanding-presence,,,,,
Commanding Presence,6th,Rapid Deployment*,6 m,1 target,-,N,Target sentient creature able to hear the caster can immediately move up to half their Move Rate as a Free Action. The target must be able to move to benefit from the effects of this Spell.,+2 Weave: add one target.,,,commanding-presence,,,,,
Commanding Presence,7th,Invigorating Warcry*,0 (self),6 m radius,1 rnd/lvl,N,"For the Duration, the caster and every ally able to hear them within the Area of Effect ignore the effects of the Weary Conditions and Exhaustion penalties.",,,,commanding-presence,,,,,
Commanding Presence,8th,Order*,6 m,1 target,C,Y,"Target sentient creature must pass a SR or follow a single order issued by the caster at the time of casting. This Spell ends immediately if the issued order is obviously self-harming or completely alien to the creature's nature, or if the caster attacks or harms the target in any way.",,,,commanding-presence,,,,,
Commanding Presence,9th,Call to Arms*,6 m,1 target,-,N,"Target sentient creature able to hear the caster can immediately make a non-magical attack with a wielded weapon as a Free Action, using the caster's Commanding Presence Skill Bonus as their CMB for that attack.",,,,commanding-presence,,,,,
Commanding Presence,10th,Roaring Warcry*,0 (self),6 m radius,1 rnd/lvl,N,"For the Duration, the caster and every ally able to hear them within the Area of Effect are immune to fear and to the effects of harmful mind-influencing Spells and abilities. Communion Speaking directly with the Gods or Elder Spirits to get insights of the Past, Present, and Future; asking for holy guidance in the form of dreams or prophecies.",,,,commanding-presence,,,,,
Communion,1st,Question Animal,0 (self),6 m radius,C,N,"The caster summons a small animal from the nearby area and mentally asks it a single question about an event that happened up to 1 hour per level of the caster in the past in the Area of Effect. The animal is compelled to answer the question truthfully (and the caster will understand what it's saying as long as this spell is active), but its response will be limited by the animal's nature and intellect. The animal will flee back to the wild as soon as it's finished answering the question.","+2 Weave: until the caster Concentrates, they can keep asking the animal new questions.",,,communion,,,,,
Communion,2nd,Anticipate*,15m,1 target,1 rnd/lvl,N,"The Spirits protect the caster, warning them about the attacks of their enemy. For the Duration, as long as the caster is free to move, they gain a special +20 bonus to their DEF against the attacks made by the target.",,,,communion,,,,,
Communion,3rd,Intuition,0 (self),15 m radius,-,N,"The caster asks the Spirits for guidance, compelling them to reveal something about a subject. The caster chooses an item, location, or creature within the Area of Effect, and then asks the GM to reveal one of the following: what the chosen subject is hiding; what kind of danger the subject poses to the caster; what benefit the subject could bring to the caster; what the subject's disposition is towards the caster; or what's unusual about the subject. The GM must answer truthfully; however, the Spirits are fickle, and often speak in riddles. The answer will either be vague or slightly misleading (caster's choosing).",+2 Weave: the caster can ask the GM to reveal one more fact about the subject.,"+3 Weave: the Spirit's answer is straightforward, without vagueness or misdirection.",,communion,,,,,
Communion,4th,Augury,0 (self),caster,-,N,"The caster receives a vision about the dangers lying on the path before them. When preparing for travel, the caster can cast this Spell to ask the GM to reveal the type of a hidden Hazard the travelling party Weave Spell Range Area of Effect Duration Save is going to face on a chosen path. This Spell can only be cast once on a given travel.",+3 Weave: the GM must also reveal a useful detail about the nature of the Hazard (cannot be chosen more than once).,,,communion,,,,,
Communion,5th,Divine Vision,0 (self),caster,4 hours,N,"The caster is put into a deep trance for the Duration. During the trance, the caster is oblivious to anything happening around them, but receives a brief vision about the present of a specific item, person, or location. The caster must be able to name or personally know the subject of the vision. The vision shows either where the subject is at the moment; or a scene about what's happening around it in the present (caster's choice). However, visions are often ambiguous or hard to interpret: the vision will either be vague; or won't show an important or dangerous detail (caster's choice).","+3 Weave: the vision is clear, and will be interpreted without errors by the caster.",,,communion,,,,,
Communion,6th,Speak with the Dead,3 m,1 target,-,N,"The caster calls forth the shade of target dead humanoid creature within Range that has been dead for one year per Level of the caster or less, compelling it to answer a question. The caster can ask the shade to reveal one of the following facts: what killed them; what was the last thing they saw; who they are; what they were doing just before dying. The shade must answer truthfully, but its knowledge is limited to what the creature knew in life. If the shade cannot answer the question asked (because the creature had no way of knowing the answer), it says so and the caster is allowed to ask it to reveal a different fact.",+2 Weave: the caster can ask the shade to reveal one more fact.,+3 Weave: the caster can summon the shade of target dead creature within Range that has been dead for 10 years per Level of the caster instead (cannot be chosen more than once).,,communion,,,,,
Communion,7th,Omen,15 m,1 target,1 min/lvl,N,"The caster states a task target creature within Range is about to perform, then selects either Good Omen of Bad Omen. If Good Omen was selected, the first Success scored by the target in performing the stated task within the Duration, is treated as an Outstanding Success. If Bad Omen was selected, the first Failure scored by the target in performing the stated task within the Duration, is treated as a Critical Failure. If the stated task was an attack, the first miss result scored within the Duration is treated as a Fumble instead.",,,,communion,,,,,
Communion,8th,Divination,0 (self),caster,4 hours,N,"The caster is put into a deep trance for the Duration. During the trance, the caster is oblivious to anything happening around them, but receives a brief vision about the future. The caster can have the vision reveal one of the following: a clue about something the caster is researching or investigating, and where to find it; the greatest danger the caster will face the following day, and its approximate timing or location; or the most precious ally the caster could meet the following day, and where to find it. However, the future is uncertain, and visions about it are unreliable at best: the vision will either be vague or omit an important or dangerous detail (caster's choice).",,,,communion,,,,,
Communion,9th,Doom,20 m,1 target,1 rnd/lvl,Y,The caster peers into the future of target creature and sees its doom. The first Critical Strike suffered by the target within the Duration will automatically be of Lethal Severity.,,,,communion,,,,,
Communion,10th,Commune with the Spirits,0 (self),caster,-,N,"The caster asks a single “yes or no” question about a subject, to which the GM must answer clearly. This Spell always causes Magical Resonance  Detections Seeing the invisible, detecting magic and curses, reading the aura of living beings and magical places, beings, and things.",,,,communion,,,,,
Dark Sorcery,1st,Agony,20 m,1 target,-,Y,"Target living creature is wrecked by pain, instantly suffering damage equal to 10% of their Total Hit Points.",+5 Weave: the target suffers damage equal to their Bruised Value instead (cannot be chosen more than once).,,,dark-sorcery,,,,,
Dark Sorcery,2nd,Dark Tongue,0 (self),Caster,1 min/lvl,N,The caster can speak with any servant of the Darkmaster or creature suffering from Taint for the Duration.,+2 Weave: change Duration to 10 minutes per Level. + 2 Weave: the caster can speak with any sentient creature instead.,"+3 Weave: each Round for the Duration, by Concentrating the caster can also choose one servant of the Darkmaster or creature suffering from Taint they can see and ask them a single question, to which they must answer truthfully, unless they pass a WSR (cannot be chosen more than once).",,dark-sorcery,,,,,
Dark Sorcery,3rd,Dark Contact,0 (self),Caster,-,N,"The caster asks the Darkmaster for guidance, receiving a vision about His grand plans. The caster chooses an item, creature, or location they're familiar with and asks the GM to reveal one of the following: what kind of danger the subject poses to the Darkmaster; how the subject can help the Darkmaster's cause; what the caster should do with the subject to please the Darkmaster; a secret the Darkmaster knows about the subject. However, the Darkmaster can choose to reveal only part of what He knows, often withholding crucial information, as mortal minds cannot hope to fully comprehend His true plans. Weave Spell Range Area of Effect Duration Save",,,,dark-sorcery,,,,,
Dark Sorcery,4th,Hand of Doom,0 (touch),1 target,-,N,Target creature suffers a Light Dark Magic Critical Strike.,+3 Weave: increase Critical Strike severity by one degree (up to Lethal).,,,dark-sorcery,,,,,
Dark Sorcery,5th,Summoning,3 m,1 demon,1 hr/lvl,Y,"The caster summons a Faceless Demon, that appears in an unoccupied space within Range. As soon as it appears, the demon must pass a Save Roll. If it fails, it will carry out a task for the caster (usually trying to subvert their orders by following them to the letter, if given the chance). Otherwise, the demon is free to act as it pleases, remaining in the mortal world until destroyed, banished, or the Duration of this Spell expires. The demon will disappear as soon as it finishes its task, or when the Duration expires, whichever comes first.",+3 Weave: change Duration to 1 day per Level.,+3 Weave: the caster summons a Werewolf instead.,+5 Weave: the caster summons a Vampire instead.,dark-sorcery,,,,,
Dark Sorcery,6th,Dark Bolt,30 m,1 target,-,N,"The caster hurls a bolt of dark sorcerous energy against the target. This Attack Spell inflicts Dark Magic damage and is resolved on the Bolt Spells Attack Table, with a maximum result of 150.",+2 Weave: increase Range by 10 meters.,,,dark-sorcery,Bolt,Dark,7.6 Bolt Spells Attack Table,7.16 Dark Magic Critical Strikes,150
Dark Sorcery,7th,Venom,15 m,1 target,-,Y,"The caster conjures a powerful, virulent venom inside target living creature's body, inflicting upon them one of the following effects: the target suffers a -50 penalty to all actions due to severe muscular contraptions; the target becomes deaf and mute; one of the target's limbs at random is paralyzed and unusable. The effects persist until the poison is cured.",,,,dark-sorcery,,,,,
Dark Sorcery,8th,Demon's Breath,0 (self),15 m × 6 m cone,-,N,"The caster exhales a thick, black caustic smoke that dissolves anything it touches. This is an Attack Spell, affecting every creature in a cone originating from the caster, with a length of 15 meters and 6 meters wide at its furthest end. The attack inflicts Dark Magic damage and is resolved on the Area Spells Attack Table, with a maximum result of 140.",+2 Weave: increase cone length by 2 meters.,,,dark-sorcery,Area,Dark,7.5 Area Spells Attack Table,7.16 Dark Magic Critical Strikes,140
Dark Sorcery,9th,Bestow Curse,15 m,1 target,P,Y,"The caster curses target creature, calling a terrible misfortune upon them. Until the curse is dispelled, the target cannot spend Drive Points to re-roll failures or suffered Critical Strikes",,,,dark-sorcery,,,,,
Dark Sorcery,10th,Endless Torment,15 m,1 target,C,N,"Target sentient creature is Held for the Duration, crushed by the terrible power of the caster's will. At the end of each Round, the target must either answer truthfully to a question asked by the caster or suffer a Grievous Dark Magic Critical Strike and try to pass a WSR. This Spell ends if the caster stops Concentrating or the target passes one of these Save Rolls.  Necromancy Invoking the power of unlife to wreck the soul of the living and raise the dead from their rest, enslaving them to unholy will.",,,,dark-sorcery,,,,,
Detections,1st,Detect Magic,0 (self),15 m radius,C,N,"For the Duration, the caster is aware of the presence of magical items or active Spells in the Area of Effect.",+2 Weave: the caster also learns the general position of all sources of magic detected (with an approximation of 1.5 meters).,+3 Weave: this Spell also detects passive or dormant Spells and magical effects.,+2 Weave: change the Duration to 1 minute per Level.,detections,,,,,
Detections,2nd,Comprehend Languages,0 (self),caster,C,N,"The caster can comprehend the basic concepts conveyed by a written text in a foreign or unknown language. This Spell only works with non-magical languages and cannot decipher codes or secret messages, giving only the literal meaning of any text analyzed.",+2 Weave: the Spell also works on spoken languages for the Duration.,"+3 Weave: the caster gains a full understanding of the analyzed text, as if it were written in their mother tongue.",,detections,,,,,
Detections,3rd,Sense Darkness,20 m,1 target,-,N,"The caster learns if a creature or item they can see is either a servant of the Darkmaster, cursed, or under the influence of an evil Spell.",+3 Weave: the caster also learns the general nature of the curse or evil Spell afflicting the target.,+1 Weave: add one target.,,detections,,,,,
Detections,4th,Sense Invisible,0 (self),15 m radius,C,N,"For the Duration, the caster is aware of the presence and general position of any invisible creature or item in the Area of Effect. Attacks against creatures sensed this way suffer a special -50 penalty.",+2 Weave: change the Duration to 1 minute per Level.,+3 Weave: the caster can see detected creatures as if they weren't invisible (and suffers no penalty to attacks made against them). Weave Spell Range Area of Effect Duration Save,,detections,,,,,
Detections,5th,Detect Traps,0 (self),15 m radius,C,N,"For the Duration, the caster is aware of the presence and general position of all traps in the Area of Effect.",+2 Weave: change the Duration to 1 minute per Level.,,,detections,,,,,
Detections,6th,Aura Reading,20 m,1 target,-,N,"The caster perceives the target's spiritual aura, gaining a superficial knowledge of their true essence and learning either their Motivation, their Nature, or their Allegiance (if any).",+2 Weave: the Spell reveals one additional Passion of the target.,,,detections,,,,,
Detections,7th,Locate,30 m,1 target,C,N,"The caster becomes aware of the exact position and the shortest route to a specific item or location they're familiar with if it's within the spell's Range. If the target is outside the Range of this Spell, the caster will learn only its general direction.",+2 Weave: change the Duration to 1 minute per Level.,"+1 Weave: the caster doesn't need to be familiar with the target, as long as it's been described to them in detail.",+1 Weave: add 30 meters to Range.,detections,,,,,
Detections,8th,Pierce the Veil,0 (self),15 m radius,C,N,"For the Duration, the caster sees through any illusion or magical disguise, darkness, or concealment within the Area of Effect.",+2 Weave: change the Duration to 1 minute per Level.,,,detections,,,,,
Detections,9th,Precognition,0 (self),caster,1 min/lvl,N,"For the Duration of the Spell, the caster automatically succeeds at any Assessment Roll, cannot be Surprised, and always acts first in each phase of the TRS.",,,,detections,,,,,
Detections,10th,Legendary Tales,0 (self),caster,-,N,"The caster learns any significant legend and tale relevant to the powers, origins, and history of any one item, place, creature, or person they choose at the time of casting. The caster must know at least a rumor about the topic, like having being told about it, or be in the presence of the object or place. In most cases, the effect of this Spell may also result in a special bonus to any Songs & Tales Skill Roll variable from +50 to +100, depending on the situation. The GM must eventually give the caster's player any information about the topic, perhaps possibly in the form of the caster experiencing in first-person important events about the item, place, creature, or person researched.  Earth Mould Manipulating elemental Earth and Stone to attack with boulders and rockslides, crack open the very earth and stone, and shockwave the ground with powerful earthquakes.",,,,detections,,,,,
Earth Mould,1st,Weaken,3 m,1 target,1 rnd/lvl,N,"Target metal or stone item, weighing no more than 3 kg, becomes brittle and fragile for the Duration. Each Round of use, the item has a 10% chance of breaking. This Spell does not affect enchanted and magical items.",+1 Weave: increase Range by 3 meters.,+1 Weave: increase the maximum weight of the item influenced by this Spell by 3 kg.,,earth-mould,,,,,
Earth Mould,2nd,Harrow,30 m,3m³,P,N,Up to 3 cubic meters of earth are loosened to the consistency of plowed ground. Creatures standing on the targeted area when this Spell is cast must pass a Standard (+0) Acrobatics Skill Roll or fall Prone.,,,,earth-mould,,,,,
Earth Mould,3rd,Power Crystal,0 (self),1 crystal,24 hr,N,"The caster creates a small crystal of raw magical energy, which appears in their hand. The crystal “contains” 1 MP, which any character holding it can use as if it was part of their MPs reserve. The crystal dissolves into nothingness when the Duration expires or when all the MPs it contains are used up.",+3 Weave: increase the MPs contained in the crystal created by this Spell by 1. Weave Spell Range Area of Effect Duration Save,,,earth-mould,,,,,
Earth Mould,4th,Earthwall,30 m,3 m × 3 m × 15 cm,1 rnd/lvl,N,"This Spell creates a wall of packed earth on a solid surface within Range. Solid, inanimate objects in the Area of Effect are encased in the wall for the Duration. Creatures that are in the Area of Effect when this Spell is cast are pushed aside as the wall takes form (each creature can choose to which side of the wall they are pushed). The wall is approximately 15 cm thick, and can be up to 3 meters long and high. A normal, man-sized creature, can dig through the wall in 10 Rounds.",+2 Weave: the Spell creates a wall of solid stone instead.,+3 Weave: extend length of wall by 3 meters.,+4 Weave: change the Duration to Permanent.,earth-mould,,,,,
Earth Mould,5th,Rock Shards,0 (self),3 m cone,-,N,"The caster hurls a volley of sharp shards of stone against their enemies. This is an Attack Spell, affecting every creature in a cone originating from the caster, with a length of 3 meters and 3 meters wide at its furthest end. The attack inflicts Piercing damage and is resolved on the Area Spells Attack Table, with a maximum result of 130.",+1 Weave: increase cone's length by 2 meters.,,,earth-mould,Area,Pierce,7.5 Area Spells Attack Table,7.11 Pierce Critical Strikes Table,130
Earth Mould,6th,Fissure,30 m,3 m × 3 m × 3 m,1 min/lvl,N,"This Spell creates a 3-meter long, 3-meter high, and 3-meter deep pit in any horizontal surface made of earth within Range. Creatures standing on the targeted area when this Spell is cast must pass a Standard (+0) Acrobatics Skill Roll or fall into the pit. The pit slowly seals itself when the Duration expires. Any creature or object inside it is then gently pushed out, without suffering any damage.",+2 Weave: increase pit's length by 3 meters.,+4 Weave: change the Duration to Permanent.,,earth-mould,,,,,
